,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
163,200.12523,43.08401,NGC5103   ,1.47,0.594,0.4,G,0.588,0.37,0.573,0.386,F,F,Simbad,NED,LEDA,200.12523,43.08401,185
164,202.1053,46.59157,NGC5173   ,1.71,0.133,0.124,G,0.164,0.11,0.168,0.106,F,F,Simbad,NED,LEDA,202.1053,46.59157,186
165,205.53494,35.65424,NGC5273   ,0.61,0.108,0.116,G,0.554,0.512,0.517,0.482,F,F,Simbad,NED,LEDA,205.53494,35.65424,188
166,206.75163,60.97304,NGC5308   ,0.78,0.735,0.637,G,0.641,0.478,0.651,0.51,F,F,Simbad,NED,LEDA,206.75163,60.97304,189
167,207.85791,59.86301,NGC5342   ,1.51,0.586,0.425,G,0.637,0.41,0.626,0.439,F,F,Simbad,NED,LEDA,207.85791,59.86301,191
168,208.36142,40.28312,NGC5353   ,0.77,0.552,0.541,G,0.689,0.544,0.618,0.532,F,F,Simbad,NED,LEDA,208.36142,40.28312,192
169,208.43985,40.33879,NGC5355   ,1.59,0.296,0.263,G,0.288,0.214,0.286,0.211,F,F,Simbad,NED,LEDA,208.43985,40.33879,193
170,208.5018,40.27742,NGC5358   ,1.32,0.592,0.395,G,0.675,0.461,0.61,0.442,F,F,Simbad,NED,LEDA,208.5018,40.27742,194
171,208.89311,59.74282,NGC5379   ,0.67,0.627,0.696,G,0.92,0.794,0.719,0.677,F,F,Simbad,NED,LEDA,208.89311,59.74282,195
172,210.17526,55.16448,NGC5422   ,0.68,0.604,0.537,G,0.588,0.475,0.6,0.501,F,F,Simbad,NED,LEDA,210.17526,55.16448,196
173,211.18017,54.89262,NGC5473   ,0.71,0.211,0.211,C,0.437,0.326,0.447,0.324,F,F,Simbad,NED,LEDA,211.18017,54.89262,197
174,211.30144,55.7418,NGC5475   ,0.86,0.697,0.568,G,0.965,0.711,0.759,0.638,F,F,Simbad,NED,LEDA,211.30144,55.7418,198
175,211.79713,55.00152,NGC5485   ,0.61,0.171,0.208,G,0.176,0.16,0.165,0.149,F,F,Simbad,NED,LEDA,211.79713,55.00152,200
176,212.87242,-5.04366,NGC5493   ,1.08,0.561,0.64,G,1.095,1.089,0.74,0.773,F,F,Simbad,NED,LEDA,212.87242,-5.04366,201
177,212.56352,48.54607,NGC5500   ,1.1,0.234,0.214,G,0.178,0.155,0.172,0.146,F,F,Simbad,NED,LEDA,212.56352,48.54607,202
178,213.33282,-3.14886,NGC5507   ,1.36,0.252,0.144,G,0.479,0.302,0.495,0.306,F,F,Simbad,NED,LEDA,213.33282,-3.14886,203
179,215.23311,3.23799,NGC5574   ,1.04,0.627,0.566,G,0.443,0.371,0.452,0.382,F,F,Simbad,NED,LEDA,215.23311,3.23799,205
180,215.1797,39.69358,NGC5582   ,0.63,0.32,0.321,G,0.676,0.668,0.564,0.567,F,F,Simbad,NED,LEDA,215.1797,39.69358,207
181,216.0199,33.0475,NGC5611   ,1.57,0.559,0.485,G,0.816,0.661,0.691,0.59,F,F,Simbad,NED,LEDA,216.0199,33.0475,208
182,217.41829,3.23344,NGC5638   ,0.61,0.091,0.079,G,0.253,0.222,0.265,0.229,F,F,Simbad,NED,LEDA,217.41829,3.23344,210
183,218.7182,54.47569,NGC5687   ,0.76,0.379,0.349,G,0.486,0.44,0.479,0.435,F,F,Simbad,NED,LEDA,218.7182,54.47569,211
184,223.31265,3.95972,NGC5770   ,0.99,0.061,0.061,C,0.242,0.171,0.273,0.174,F,F,Simbad,NED,LEDA,223.31265,3.95972,212
185,226.35947,2.09936,NGC5838   ,0.67,0.361,0.297,G,0.521,0.464,0.521,0.46,F,F,Simbad,NED,LEDA,226.35947,2.09936,215
186,226.36447,1.63463,NGC5839   ,1.03,0.1,0.169,G,0.385,0.269,0.43,0.298,F,F,Simbad,NED,LEDA,226.36447,1.63463,216
187,226.50328,1.63383,NGC5845   ,2.57,0.264,0.236,G,0.402,0.368,0.404,0.358,F,F,Simbad,NED,LEDA,226.50328,1.63382,217
188,226.94885,2.56856,NGC5854   ,0.79,0.575,0.426,G,0.761,0.531,0.678,0.515,F,F,Simbad,NED,LEDA,226.94885,2.56856,219
189,227.38979,3.05274,NGC5864   ,0.59,0.695,0.658,G,0.63,0.556,0.603,0.55,F,F,Simbad,NED,LEDA,227.38979,3.05274,220
190,226.62317,55.76331,NGC5866   ,0.44,0.566,0.566,G,0.349,0.349,0.319,0.319,F,F,Simbad,NED,LEDA,226.62317,55.76331,221
191,227.45605,0.46997,NGC5869   ,0.85,0.245,0.244,G,0.433,0.387,0.428,0.383,F,F,Simbad,NED,LEDA,227.45605,0.46997,222
192,238.57977,0.54303,NGC6010   ,0.84,0.742,0.539,G,0.703,0.555,0.679,0.556,F,F,Simbad,NED,LEDA,238.57977,0.54303,223
193,238.9891,5.93184,NGC6014   ,0.58,0.419,0.434,G,0.418,0.378,0.387,0.353,F,F,Simbad,NED,LEDA,238.9891,5.93184,224
194,239.31453,5.99836,NGC6017   ,2.53,0.455,0.405,G,0.441,0.352,0.429,0.34,F,F,Simbad,NED,LEDA,239.31453,5.99836,225
195,246.85115,19.59729,NGC6149   ,1.65,0.325,0.279,G,0.656,0.579,0.563,0.513,F,F,Simbad,NED,LEDA,246.85115,19.59729,226
