,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
68,169.60532,58.78625,NGC3610   ,1.1,0.381,0.4,G,0.642,0.639,0.53,0.539,F,F,Simbad,NED,LEDA,169.60532,58.78625,74
69,169.65054,57.99993,NGC3613   ,0.59,0.46,0.423,G,0.202,0.176,0.222,0.191,F,F,Simbad,NED,LEDA,169.65054,57.99992,75
70,169.84009,57.75768,NGC3619   ,0.62,0.173,0.176,G,0.285,0.274,0.293,0.283,F,F,Simbad,NED,LEDA,169.84009,57.75768,76
71,170.01581,18.35679,NGC3626   ,0.57,0.591,0.583,G,0.728,0.681,0.66,0.62,F,F,Simbad,NED,LEDA,170.01581,18.35679,77
72,170.07079,2.96417,NGC3630   ,1.04,0.665,0.371,G,0.639,0.404,0.648,0.421,F,F,Simbad,NED,LEDA,170.07079,2.96417,78
73,170.27855,3.23476,NGC3640   ,0.76,0.191,0.224,G,0.37,0.315,0.377,0.32,F,F,Simbad,NED,LEDA,170.27855,3.23476,79
74,170.28662,3.19449,NGC3641   ,1.84,0.125,0.215,G,0.331,0.353,0.243,0.328,F,F,Simbad,NED,LEDA,170.28662,3.19449,80
75,170.6312,39.87697,NGC3648   ,1.24,0.421,0.326,G,0.711,0.479,0.684,0.496,F,F,Simbad,NED,LEDA,170.6312,39.87697,81
76,170.9927,38.56242,NGC3658   ,0.91,0.243,0.148,G,0.462,0.336,0.546,0.398,F,F,Simbad,NED,LEDA,170.9927,38.56242,82
77,171.18179,38.76279,NGC3665   ,0.77,0.216,0.176,G,0.463,0.439,0.41,0.388,F,F,Simbad,NED,LEDA,171.18179,38.76279,83
78,171.61087,57.04829,NGC3674   ,1.28,0.568,0.342,G,0.491,0.292,0.541,0.308,F,F,Simbad,NED,LEDA,171.61087,57.04829,84
79,172.22557,35.41386,NGC3694   ,1.71,0.268,0.208,G,0.269,0.203,0.256,0.191,F,F,Simbad,NED,LEDA,172.22557,35.41386,85
80,174.26177,58.41565,NGC3757   ,2.06,0.153,0.153,C,0.119,0.096,0.126,0.098,F,S,Simbad,NED,LEDA,174.26177,58.41565,86
81,176.0572,57.9481,NGC3838   ,1.42,0.605,0.385,S,0.743,0.536,0.676,0.509,F,F,Simbad,NED,LEDA,176.0572,57.9481,88
82,178.23067,36.98638,NGC3941   ,0.66,0.251,0.251,C,0.439,0.352,0.468,0.373,F,F,Simbad,NED,LEDA,178.23067,36.98638,89
83,178.30719,60.67556,NGC3945   ,0.74,0.09,0.23,G,0.717,0.741,0.524,0.561,F,F,Simbad,NED,LEDA,178.30719,60.67556,90
84,179.48404,55.45356,NGC3998   ,0.87,0.17,0.164,G,0.415,0.326,0.454,0.342,F,F,Simbad,NED,LEDA,179.48404,55.45356,91
85,179.85495,50.96169,NGC4026   ,0.75,0.556,0.438,G,0.54,0.451,0.548,0.442,F,F,Simbad,NED,LEDA,179.85495,50.96169,92
86,180.36205,61.8957,NGC4036   ,0.53,0.555,0.54,G,0.818,0.803,0.685,0.678,F,F,Simbad,NED,LEDA,180.36205,61.8957,93
87,181.19845,10.59554,NGC4078   ,2.0,0.561,0.51,S,0.575,0.524,0.523,0.496,F,F,Simbad,NED,LEDA,181.19845,10.59554,94
88,181.76303,43.06539,NGC4111   ,1.25,0.582,0.498,S,0.72,0.663,0.619,0.567,F,F,Simbad,NED,LEDA,181.76303,43.06539,95
89,182.04017,10.37872,NGC4119   ,0.61,0.598,0.563,G,0.895,0.808,0.701,0.66,F,F,Simbad,NED,LEDA,182.04017,10.37872,96
90,182.40036,42.53422,NGC4143   ,0.73,0.39,0.324,G,0.504,0.369,0.538,0.398,F,F,Simbad,NED,LEDA,182.40036,42.53422,97
91,182.64023,30.40149,NGC4150   ,0.98,0.328,0.274,G,0.514,0.337,0.513,0.338,F,F,Simbad,NED,LEDA,182.64023,30.40149,98
92,183.21709,1.29967,NGC4179   ,0.77,0.591,0.501,G,0.589,0.47,0.587,0.48,F,F,Simbad,NED,LEDA,183.21709,1.29967,100
93,183.77093,33.19724,NGC4203   ,0.59,0.154,0.18,G,0.281,0.255,0.305,0.275,F,F,Simbad,NED,LEDA,183.77093,33.19724,102
94,183.97714,6.40113,NGC4215   ,0.83,0.702,0.444,G,0.516,0.363,0.553,0.37,F,F,Simbad,NED,LEDA,183.97714,6.40113,103
95,184.28204,7.62443,NGC4233   ,1.15,0.277,0.162,G,0.578,0.401,0.564,0.39,F,F,Simbad,NED,LEDA,184.28204,7.62443,104
96,184.49765,5.59872,NGC4249   ,1.32,0.048,0.04,G,0.204,0.142,0.194,0.127,F,F,Simbad,NED,LEDA,184.49765,5.59872,105
97,184.53461,28.1753,NGC4251   ,0.79,0.508,0.387,G,0.637,0.503,0.584,0.466,F,F,Simbad,NED,LEDA,184.53461,28.1753,106
98,184.7341,4.78592,NGC4255   ,1.34,0.434,0.127,S,0.622,0.374,0.606,0.37,F,F,Simbad,NED,LEDA,184.7341,4.78592,107
99,184.84247,5.37624,NGC4259   ,1.93,0.553,0.45,G,0.231,0.081,0.237,0.068,F,S,Simbad,NED,LEDA,184.84247,5.37624,108
100,184.87742,14.87772,NGC4262   ,1.39,0.117,0.117,C,0.297,0.254,0.309,0.25,F,F,Simbad,NED,LEDA,184.87742,14.87772,110
101,184.89908,5.8468,NGC4264   ,1.26,0.191,0.191,C,0.541,0.355,0.499,0.341,F,F,Simbad,NED,LEDA,184.89908,5.8468,111
102,184.93867,12.79836,NGC4267   ,0.53,0.079,0.079,C,0.26,0.241,0.282,0.253,F,F,Simbad,NED,LEDA,184.93867,12.79836,112
103,184.94676,5.28365,NGC4268   ,0.93,0.552,0.348,G,0.491,0.333,0.492,0.33,F,F,Simbad,NED,LEDA,184.94676,5.28365,113
104,184.95598,5.46337,NGC4270   ,0.96,0.543,0.424,G,0.378,0.289,0.406,0.294,F,F,Simbad,NED,LEDA,184.95598,5.46337,114
105,185.02844,29.28075,NGC4278   ,0.72,0.103,0.134,G,0.201,0.208,0.178,0.203,F,F,Simbad,NED,LEDA,185.02844,29.28075,115
106,185.08969,5.38643,NGC4281   ,0.69,0.535,0.502,G,0.757,0.702,0.651,0.621,F,F,Simbad,NED,LEDA,185.08969,5.38643,116
107,185.08661,29.3109,NGC4283   ,1.44,0.033,0.031,G,0.172,0.155,0.171,0.151,F,F,Simbad,NED,LEDA,185.08661,29.3109,117
108,185.77572,5.25049,NGC4324   ,0.83,0.434,0.197,G,0.639,0.407,0.592,0.389,F,F,Simbad,NED,LEDA,185.77572,5.25049,118
109,185.8956,6.08171,NGC4339   ,0.55,0.06,0.06,G,0.311,0.302,0.325,0.312,F,F,Simbad,NED,LEDA,185.8956,6.08171,119
110,185.89714,16.72219,NGC4340   ,0.62,0.227,0.237,G,0.499,0.481,0.458,0.442,F,F,Simbad,NED,LEDA,185.89714,16.72219,120
111,185.9126,7.05394,NGC4342   ,2.45,0.442,0.263,S,0.537,0.307,0.528,0.306,F,F,Simbad,NED,LEDA,185.9126,7.05394,121
112,185.86642,46.99388,NGC4346   ,0.77,0.533,0.36,G,0.571,0.428,0.576,0.439,F,F,Simbad,NED,LEDA,185.86642,46.99388,122
113,185.99089,16.69336,NGC4350   ,0.77,0.674,0.55,G,0.658,0.46,0.638,0.48,F,F,Simbad,NED,LEDA,185.99089,16.69336,123
114,186.23096,11.70429,NGC4371   ,0.51,0.309,0.313,G,0.541,0.541,0.482,0.482,F,F,Simbad,NED,LEDA,186.23096,11.70429,125
115,186.30128,14.76222,NGC4377   ,1.3,0.157,0.228,S,0.443,0.314,0.473,0.338,F,F,Simbad,NED,LEDA,186.30128,14.76222,127
116,186.31139,15.6075,NGC4379   ,0.9,0.224,0.258,G,0.386,0.294,0.398,0.3,F,F,Simbad,NED,LEDA,186.31139,15.6075,128
117,186.35022,18.19108,NGC4382   ,0.34,0.202,0.202,G,0.174,0.174,0.163,0.163,F,F,Simbad,NED,LEDA,186.35022,18.19108,129
118,186.42381,12.81036,NGC4387   ,1.1,0.373,0.351,G,0.391,0.315,0.399,0.317,F,F,Simbad,NED,LEDA,186.42381,12.81036,130
119,186.71094,9.58412,NGC4417   ,0.89,0.566,0.418,G,0.542,0.395,0.548,0.392,F,F,Simbad,NED,LEDA,186.71094,9.58412,132
120,186.80566,12.7348,NGC4425   ,0.62,0.676,0.587,G,0.438,0.363,0.454,0.384,F,F,Simbad,NED,LEDA,186.80566,12.7348,133
121,186.86066,11.10754,NGC4429   ,0.48,0.402,0.402,G,0.455,0.455,0.396,0.396,F,F,Simbad,NED,LEDA,186.86066,11.10754,134
122,186.90283,8.15431,NGC4434   ,1.15,0.058,0.082,G,0.249,0.186,0.288,0.199,F,F,Simbad,NED,LEDA,186.90283,8.15431,135
123,186.91876,13.07902,NGC4435   ,0.52,0.468,0.465,G,0.672,0.667,0.599,0.597,F,F,Simbad,NED,LEDA,186.91876,13.07902,136
