,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
137,NGC4521   ,0.89,0.566,0.482,G,0.794,0.566,0.682,0.534,F,F,20.74,0.18   ,33.1 ,3.5   ,2.8,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.769161854557
138,NGC4526   ,0.45,0.361,0.361,G,0.563,0.563,0.453,0.453,F,F,20.25,0.14   ,19.5 ,1.6   ,2.4,0.5 ,20.92 ,0.18     ,24.4 ,2.7     ,2.1,0.6   ,0.63,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.753953568451
139,NGC4546   ,0.66,0.527,0.465,G,0.653,0.572,0.639,0.579,F,F,19.53,0.07   ,11.3 ,0.4   ,2.1,0.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.849086795974
140,NGC4551   ,0.92,0.284,0.259,G,0.311,0.285,0.295,0.259,F,F,19.65,0.03   ,20.2 ,0.3   ,1.7,0.1 ,20.91 ,0.24     ,29.9 ,3.3     ,1.4,0.2   ,0.34,17.63,0.02   ,6.9,0.5   ,0.4,0.37,0.084,0.508920426
141,NGC4564   ,0.78,0.56,0.477,G,0.64,0.532,0.619,0.536,F,F,21.34,0.12   ,49.3 ,3.1   ,6.2,0.4 ,21.67 ,0.15     ,56.7 ,4.5     ,6.7,0.6   ,0.9,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.77607840707
142,NGC4570   ,0.7,0.626,0.551,G,0.586,0.47,0.603,0.498,F,F,19.97,0.07   ,21.9 ,0.7   ,2.9,0.2 ,20.39 ,0.09     ,14.7 ,0.6     ,5.7,0.4   ,0.49,18.85,0.02   ,17.2,0.2   ,0.46,0.55,0.004,0.670893436866
143,NGC4578   ,0.7,0.289,0.282,G,0.669,0.596,0.596,0.544,F,F,19.35,0.06   ,25.1 ,0.7   ,2.4,0.2 ,18.12 ,0.45     ,5.4  ,1.5     ,1.9,0.8   ,0.64,18.41,0.03   ,22.7,0.7   ,0.35,0.74,0.072,1.02441126493
144,NGC4596   ,0.56,0.254,0.254,C,0.31,0.297,0.297,0.28,F,F,22.23,0.48   ,43.1 ,18.2  ,5.2,2.0 ,19.19 ,0.14     ,6.4  ,0.5     ,1.6,0.3   ,0.78,20.33,0.04   ,27.2,1.0   ,0.71,0.71,0.022,0.555573053093
145,NGC4608   ,0.56,0.115,0.115,C,0.194,0.18,0.203,0.185,F,F,21.83,0.14   ,59.2 ,4.5   ,3.8,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.545535237773
146,NGC4612   ,0.75,0.204,0.196,R,0.428,0.345,0.407,0.324,F,F,25.05,0.41   ,196.2,84.6  ,10.5,1.9 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.731841401353
147,NGC4621   ,0.5,0.365,0.364,G,0.273,0.272,0.291,0.291,F,F,21.42,0.20   ,31.4 ,3.7   ,3.5,0.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.482327803356
148,NGC4623   ,0.64,0.673,0.648,G,0.66,0.602,0.598,0.564,F,F,21.08,0.09   ,52.4 ,2.3   ,4.3,0.2 ,20.21 ,0.11     ,25.9 ,37.4    ,4.2,0.7   ,0.63,19.78,0.06   ,31.8,13.8  ,0.63,0.38,0.000,0.70063463295
149,NGC4624   ,0.42,0.065,0.065,C,0.292,0.288,0.297,0.293,F,F,20.98,0.04   ,25.7 ,0.4   ,2.0,0.1 ,21.36 ,0.63     ,11.9 ,8.7     ,2.9,1.5   ,0.37,19.42,0.06   ,17.4,0.9   ,0.34,0.79,0.058,1.14924055191
150,NGC4638   ,0.87,0.606,0.657,G,0.909,0.895,0.691,0.715,F,F,23.32,0.29   ,193.2,36.3  ,5.5,0.5 ,23.78 ,0.04     ,250.0,0.9     ,5.6,0.2   ,0.69,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.882111242152
151,NGC4643   ,0.61,0.249,0.199,G,0.321,0.323,0.255,0.254,F,F,19.96,0.16   ,17.5 ,1.4   ,4.6,0.7 ,22.52 ,0.10     ,45.9 ,2.4     ,1.0,0.8   ,0.69,16.53,0.01   ,6.1,0.3   ,0.41,0.58,0.054,0.569386516371
152,NGC4649   ,0.35,0.156,0.156,G,0.123,0.123,0.127,0.127,F,F,22.45,0.47   ,71.3 ,26.9  ,7.4,1.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.321544749049
153,NGC4660   ,1.39,0.441,0.315,G,0.603,0.518,0.553,0.475,F,F,21.89,0.25   ,119.6,17.5  ,5.1,0.5 ,18.79 ,0.11     ,17.0 ,1.2     ,1.8,0.1   ,0.85,19.73,0.02   ,63.3,1.8   ,0.77,0.68,0.021,0.846327266056
154,NGC4684   ,0.7,0.598,0.596,G,0.713,0.665,0.622,0.6,F,F,19.31,0.07   ,12.1 ,0.4   ,3.5,0.2 ,19.26 ,0.18     ,9.0  ,1.0     ,5.6,1.3   ,0.64,18.4,0.02   ,9.5,0.4   ,0.62,0.36,0.031,0.777191640226
155,NGC4694   ,0.52,0.547,0.546,G,0.275,0.276,0.289,0.295,F,F,22.03,0.12   ,21.9 ,1.3   ,2.8,0.3 ,22.04 ,0.14     ,21.6 ,1.5     ,2.5,0.3   ,0.72,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.399232321946
156,NGC4697   ,0.37,0.447,0.447,G,0.363,0.363,0.322,0.322,F,F,21.48,0.04   ,36.1 ,0.7   ,3.0,0.1 ,20.18 ,0.29     ,12.5 ,10.3    ,1.6,0.4   ,0.48,20.09,0.04   ,25.6,8.0   ,0.44,0.64,0.369,0.481617334894
157,NGC4710   ,0.74,0.699,0.395,G,0.731,0.496,0.652,0.456,F,F,21.72,0.10   ,96.4 ,4.6   ,4.6,0.2 ,21.04 ,1.69     ,53.3 ,40.4    ,4.2,2.0   ,0.59,19.41,0.10   ,31.9,4.9   ,0.54,0.29,0.270,0.725548243168
158,NGC4733   ,0.74,0.06,0.06,C,0.096,0.088,0.086,0.076,F,F,20.26,0.07   ,49.1 ,1.4   ,1.1,0.1 ,20.27 ,0.08     ,49.3 ,1.6     ,1.1,0.1   ,0.25,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.310268700753
159,NGC4753   ,0.49,0.213,0.213,G,0.537,0.537,0.467,0.467,F,F,21.74,0.09   ,27.9 ,1.2   ,1.8,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.01187549569
160,NGC4754   ,0.68,0.48,0.48,C,0.445,0.395,0.467,0.418,F,F,21.4,0.18   ,80.6 ,8.1   ,2.9,0.3 ,22.05 ,0.29     ,100.9,20.4    ,3.3,0.5   ,0.55,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.603331031303
161,NGC4762   ,0.4,0.852,0.852,G,0.783,0.783,0.724,0.724,F,F,21.0,0.11   ,41.3 ,2.4   ,4.5,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.784366015932
162,NGC4803   ,2.02,0.282,0.266,S,0.192,0.063,0.181,0.054,F,S,20.58,0.17   ,72.4 ,6.9   ,3.0,0.3 ,17.57 ,0.05     ,3.1  ,46.1    ,0.9,0.8   ,0.73,18.08,0.02   ,35.7,12.6  ,0.14,0.9,0.000,0.104701509134
163,NGC5103   ,1.47,0.594,0.4,G,0.588,0.37,0.573,0.386,F,F,19.92,0.18   ,6.2  ,0.6   ,2.8,0.6 ,19.90 ,0.12     ,6.3  ,0.4     ,1.8,0.3   ,0.62,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.610319588412
164,NGC5173   ,1.71,0.133,0.124,G,0.164,0.11,0.168,0.106,F,F,20.45,0.26   ,12.6 ,1.9   ,3.9,1.5 ,17.80 ,0.52     ,1.9  ,0.8     ,0.6,0.4   ,0.83,18.14,0.03   ,7.7,0.4   ,0.51,0.83,0.089,0.301019772151
165,NGC5273   ,0.61,0.108,0.116,G,0.554,0.512,0.517,0.482,F,F,21.14,0.08   ,20.3 ,0.8   ,2.6,0.2 ,22.59 ,0.56     ,32.0 ,11.3    ,4.4,2.2   ,0.88,19.53,0.07   ,8.4,0.8   ,0.83,0.22,0.034,1.41520072903
166,NGC5308   ,0.78,0.735,0.637,G,0.641,0.478,0.651,0.51,F,F,21.72,0.32   ,31.7 ,8.2   ,1.8,1.1 ,19.43 ,0.47     ,3.9  ,1.2     ,1.2,0.7   ,0.89,19.86,0.06   ,20.2,0.7   ,0.91,0.9,0.032,0.638999414067
167,NGC5342   ,1.51,0.586,0.425,G,0.637,0.41,0.626,0.439,F,F,21.79,0.07   ,64.7 ,2.2   ,5.5,0.1 ,21.95 ,0.15     ,67.9 ,5.5     ,5.8,0.4   ,0.66,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.673395260208
168,NGC5353   ,0.77,0.552,0.541,G,0.689,0.544,0.618,0.532,F,F,19.81,0.05   ,8.1  ,0.2   ,2.4,0.1 ,18.25 ,0.41     ,1.7  ,0.5     ,1.1,0.5   ,0.82,18.52,0.04   ,6.6,0.1   ,0.53,0.79,0.068,0.723290897728
169,NGC5355   ,1.59,0.296,0.263,G,0.288,0.214,0.286,0.211,F,F,19.93,0.14   ,22.3 ,1.7   ,3.3,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.411438171323
170,NGC5358   ,1.32,0.592,0.395,G,0.675,0.461,0.61,0.442,F,F,20.79,0.04   ,10.1 ,0.2   ,2.4,0.1 ,20.92 ,0.02     ,10.6 ,0.1     ,2.2,0.1   ,0.7,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.703272639211
171,NGC5379   ,0.67,0.627,0.696,G,0.92,0.794,0.719,0.677,F,F,20.67,0.03   ,10.8 ,0.2   ,2.0,0.1 ,19.35 ,0.46     ,2.1  ,0.3     ,0.7,0.4   ,0.81,19.38,0.05   ,7.9,0.2   ,0.56,0.85,0.033,0.811491637764
172,NGC5422   ,0.68,0.604,0.537,G,0.588,0.475,0.6,0.501,F,F,21.54,0.20   ,22.6 ,2.2   ,1.1,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.683676391154
173,NGC5473   ,0.71,0.211,0.211,C,0.437,0.326,0.447,0.324,F,F,19.93,0.20   ,22.1 ,3.4   ,1.7,0.7 ,18.76 ,0.47     ,4.2  ,23.7    ,1.6,1.3   ,0.69,19.41,0.06   ,22.2,6.7   ,0.36,0.78,0.410,0.705348557578
174,NGC5475   ,0.86,0.697,0.568,G,0.965,0.711,0.759,0.638,F,F,20.89,0.25   ,21.3 ,3.0   ,3.7,1.0 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.846538103433
175,NGC5485   ,0.61,0.171,0.208,G,0.176,0.16,0.165,0.149,F,F,22.19,0.28   ,27.5 ,4.3   ,3.7,0.9 ,22.46 ,0.29     ,31.1 ,5.0     ,3.4,0.8   ,0.71,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.326704112192
176,NGC5493   ,1.08,0.561,0.64,G,1.095,1.089,0.74,0.773,F,F,21.46,0.06   ,31.5 ,1.0   ,3.1,0.1 ,21.74 ,0.19     ,34.7 ,3.7     ,3.4,0.5   ,0.74,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.96625
177,NGC5500   ,1.1,0.234,0.214,G,0.178,0.155,0.172,0.146,F,F,19.88,0.09   ,13.1 ,0.6   ,5.8,0.5 ,21.90 ,2.06     ,26.0 ,0.8     ,11.1,0.4   ,0.68,16.78,0.03   ,5.4,3.4   ,0.42,0.33,0.228,0.315606521852
178,NGC5507   ,1.36,0.252,0.144,G,0.479,0.302,0.495,0.306,F,F,21.99,0.08   ,15.5 ,0.6   ,2.9,0.2 ,22.94 ,0.77     ,16.6 ,3.9     ,7.7,2.4   ,0.76,20.62,0.12   ,8.7,0.8   ,0.78,0.32,0.051,0.806380803343
179,NGC5574   ,1.04,0.627,0.566,G,0.443,0.371,0.452,0.382,F,F,21.12,0.15   ,26.9 ,2.0   ,3.8,0.4 ,21.29 ,0.15     ,29.1 ,2.2     ,4.4,0.5   ,0.84,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.507756097371
180,NGC5582   ,0.63,0.32,0.321,G,0.676,0.668,0.564,0.567,F,F,22.79,0.24   ,72.9 ,9.1   ,11.3,0.9 ,22.49 ,0.29     ,63.2 ,10.8    ,9.2,1.1   ,0.67,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.00076139238
181,NGC5611   ,1.57,0.559,0.485,G,0.816,0.661,0.691,0.59,F,F,23.12,0.44   ,58.4 ,22.9  ,7.3,1.8 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.847190627169
182,NGC5638   ,0.61,0.091,0.079,G,0.253,0.222,0.265,0.229,F,F,21.35,0.13   ,24.8 ,1.6   ,4.3,0.5 ,21.14 ,0.09     ,22.7 ,1.0     ,4.2,0.4   ,0.9,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.814745436675
183,NGC5687   ,0.76,0.379,0.349,G,0.486,0.44,0.479,0.435,F,F,21.25,0.08   ,27.1 ,1.0   ,3.5,0.2 ,23.46 ,1.46     ,69.1 ,40.9    ,8.0,2.7   ,0.87,20.19,0.15   ,12.4,0.9   ,0.93,0.12,0.083,0.736336863859
184,NGC5770   ,0.99,0.061,0.061,C,0.242,0.171,0.273,0.174,F,F,22.61,0.29   ,42.8 ,6.9   ,6.6,1.1 ,18.90 ,0.15     ,3.9  ,0.5     ,1.4,0.5   ,0.76,19.35,0.02   ,12.2,1.1   ,0.65,0.71,0.055,0.704505407256
185,NGC5838   ,0.67,0.361,0.297,G,0.521,0.464,0.521,0.46,F,F,21.73,0.06   ,30.0 ,0.9   ,4.3,0.2 ,21.33 ,0.08     ,25.2 ,1.0     ,4.3,0.3   ,0.9,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.84407221993
186,NGC5839   ,1.03,0.1,0.169,G,0.385,0.269,0.43,0.298,F,F,20.34,0.18   ,30.8 ,3.5   ,3.4,0.7 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.724891340562
187,NGC5845   ,2.57,0.264,0.236,G,0.402,0.368,0.404,0.358,F,F,21.58,0.30   ,18.6 ,3.0   ,3.1,1.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.736931337785
188,NGC5854   ,0.79,0.575,0.426,G,0.761,0.531,0.678,0.515,F,F,22.07,0.09   ,67.4 ,3.2   ,3.9,0.2 ,22.23 ,0.11     ,72.8 ,4.1     ,4.1,0.2   ,0.92,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.789046194284
189,NGC5864   ,0.59,0.695,0.658,G,0.63,0.556,0.603,0.55,F,F,20.06,0.06   ,21.1 ,0.7   ,1.7,0.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.678031299992
190,NGC5866   ,0.44,0.566,0.566,G,0.349,0.349,0.319,0.319,F,F,20.14,0.07   ,23.7 ,0.7   ,1.3,0.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.424016217438
191,NGC5869   ,0.85,0.245,0.244,G,0.433,0.387,0.428,0.383,F,F,20.18,0.11   ,46.7 ,2.6   ,2.3,0.2 ,21.43 ,0.26     ,72.3 ,10.7    ,1.8,0.5   ,0.42,17.57,0.02   ,13.5,0.8   ,0.42,0.33,0.092,0.775360836146
192,NGC6010   ,0.84,0.742,0.539,G,0.703,0.555,0.679,0.556,F,F,21.4,0.11   ,24.4 ,1.2   ,4.8,0.4 ,21.93 ,0.17     ,30.4 ,2.7     ,5.4,0.7   ,0.75,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.757321713744
193,NGC6014   ,0.58,0.419,0.434,G,0.418,0.378,0.387,0.353,F,F,19.94,0.12   ,19.2 ,1.4   ,1.8,0.4 ,20.33 ,0.22     ,23.5 ,6.5     ,0.8,0.9   ,0.24,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.535833473684
194,NGC6017   ,2.53,0.455,0.405,G,0.441,0.352,0.429,0.34,F,F,22.01,0.14   ,21.1 ,1.4   ,1.7,0.2 ,21.86 ,0.13     ,20.5 ,1.2     ,1.6,0.2   ,0.63,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.534258456897
195,NGC6149   ,1.65,0.325,0.279,G,0.656,0.579,0.563,0.513,F,F,19.84,0.10   ,6.3  ,0.3   ,3.7,0.3 ,19.78 ,0.05     ,7.6  ,0.1     ,1.2,0.1   ,0.52,16.58,0.00   ,1.3,6.3   ,0.86,0.32,0.173,0.971214736562
196,NGC6278   ,1.02,0.409,0.401,G,0.521,0.368,0.576,0.411,F,F,20.88,0.17   ,10.4 ,0.9   ,2.3,0.6 ,19.38 ,0.35     ,3.2  ,0.5     ,0.9,0.4   ,0.76,19.83,0.05   ,9.1,0.7   ,0.7,0.73,0.057,0.649037269006
197,NGC6547   ,1.22,0.674,0.456,G,0.616,0.41,0.632,0.444,F,F,20.46,0.34   ,14.1 ,4.8   ,2.5,1.4 ,18.83 ,0.49     ,3.8  ,1.6     ,1.3,0.9   ,0.8,19.61,0.06   ,13.7,1.5   ,0.52,0.66,0.160,0.657507254313
198,NGC6548   ,0.66,0.107,0.107,C,0.315,0.254,0.326,0.261,F,F,20.44,0.20   ,15.7 ,1.6   ,3.4,0.6 ,17.85 ,0.67     ,1.7  ,1.2     ,0.6,0.6   ,0.88,18.57,0.04   ,8.8,1.6   ,0.47,0.83,0.184,0.797900281873
199,NGC6798   ,0.95,0.461,0.372,G,0.488,0.322,0.483,0.31,F,F,22.14,0.32   ,39.0 ,8.1   ,5.9,1.1 ,22.29 ,0.34     ,41.9 ,8.7     ,6.1,1.0   ,0.96,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.508265022733
200,NGC7280   ,0.82,0.363,0.377,G,0.606,0.538,0.557,0.503,F,F,21.67,0.22   ,23.6 ,2.8   ,4.0,0.6 ,21.73 ,0.96     ,13.8 ,15.0    ,6.7,2.6   ,0.53,20.03,0.08   ,13.3,1.2   ,0.55,0.5,0.129,0.819213895045
201,NGC7332   ,0.85,0.674,0.469,G,0.49,0.291,0.561,0.338,F,F,22.44,0.59   ,42.8 ,41.8  ,6.1,2.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.493549002974
202,NGC7457   ,0.62,0.47,0.438,G,0.546,0.478,0.519,0.465,F,F,21.49,0.21   ,29.5 ,3.8   ,3.4,0.4 ,20.53 ,0.12     ,19.1 ,1.2     ,1.9,0.2   ,0.65,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.702612541563
203,NGC7465   ,2.17,0.364,0.406,G,0.343,0.352,0.283,0.294,F,F,21.96,0.30   ,59.1 ,12.1  ,3.1,0.5 ,21.32 ,0.54     ,18.7 ,7.5     ,3.6,0.9   ,0.59,19.77,0.06   ,29.0,0.8   ,0.55,0.73,0.065,0.461407143122
204,NGC7693   ,1.34,0.233,0.275,G,0.686,0.44,0.616,0.408,F,F,19.27,0.08   ,7.3  ,0.3   ,3.6,0.2 ,19.30 ,0.09     ,7.6  ,0.4     ,2.9,0.3   ,0.69,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.778025472824
205,NGC7710   ,1.84,0.581,0.548,S,0.293,0.136,0.34,0.137,F,S,20.79,0.08   ,9.3  ,0.4   ,1.1,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.185067555233
206,PGC016060 ,1.32,0.694,0.681,G,1.019,0.682,0.759,0.616,F,F,20.05,0.05   ,8.3  ,0.2   ,2.5,0.2 ,20.53 ,0.12     ,9.8  ,0.6     ,2.2,0.5   ,0.47,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.746461058328
207,PGC029321 ,2.32,0.14,0.146,G,0.339,0.187,0.336,0.175,F,F,22.52,0.39   ,15.7 ,4.1   ,8.4,2.0 ,19.77 ,0.65     ,3.7  ,1.6     ,9.9,2.3   ,0.68,22.13,0.19   ,13.2,1.1   ,0.69,0.21,0.086,0.457995932266
208,PGC035754 ,2.6,0.275,0.333,G,0.258,0.275,0.21,0.266,F,F,20.85,0.11   ,6.0  ,0.3   ,0.8,0.1 ,20.82 ,0.16     ,5.9  ,0.4     ,0.8,0.2   ,0.88,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.460956050487
209,PGC042549 ,1.57,0.369,0.45,G,0.771,0.56,0.673,0.529,F,F,20.85,0.21   ,7.4  ,0.8   ,7.8,1.4 ,19.08 ,0.35     ,3.1  ,1.3     ,5.7,3.2   ,0.67,22.85,0.26   ,17.8,2.1   ,0.68,0.2,0.161,0.788586640065
210,PGC044433 ,3.0,0.335,0.184,S,0.362,0.205,0.357,0.2,F,F,20.46,0.13   ,9.1  ,0.6   ,1.6,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.46625240412
211,PGC051753 ,1.54,0.549,0.538,G,0.668,0.538,0.587,0.513,F,F,21.35,0.10   ,9.7  ,0.4   ,3.2,0.4 ,21.35 ,0.13     ,9.7  ,0.6     ,2.7,0.6   ,0.76,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.699400965139
212,PGC054452 ,1.17,0.189,0.175,G,0.435,0.316,0.416,0.307,F,F,20.54,0.10   ,8.5  ,0.4   ,1.4,0.2 ,20.43 ,0.07     ,8.5  ,0.3     ,0.9,0.1   ,0.45,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.733870366131
213,PGC056772 ,1.87,0.493,0.467,G,0.386,0.443,0.31,0.42,F,F,21.53,0.08   ,11.4 ,0.4   ,1.7,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.614597586002
214,PGC058114 ,1.95,0.185,0.213,R,0.228,0.159,0.176,0.132,F,F,20.93,0.13   ,9.4  ,0.6   ,2.3,0.3 ,20.76 ,0.12     ,9.3  ,0.5     ,1.4,0.2   ,0.51,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.286011917412
215,PGC061468 ,1.58,0.231,0.23,G,0.464,0.391,0.409,0.36,F,F,0.0,0.00   ,0.0  ,0.0   ,0.0,0.0 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.750651890605
216,PGC071531 ,2.35,0.305,0.235,R,0.323,0.263,0.333,0.266,F,F,21.12,0.18   ,9.4  ,1.0   ,1.6,0.4 ,20.57 ,0.15     ,6.7  ,0.5     ,0.9,0.2   ,0.74,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.54871610301
217,PGC170172 ,2.08,0.195,0.372,G,0.287,0.192,0.324,0.218,F,F,0.0,0.00   ,0.0  ,0.0   ,0.0,0.0 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.357425080502
218,UGC04551  ,1.59,0.137,0.137,G,0.252,0.205,0.277,0.214,F,F,24.35,0.49   ,50.2 ,26.5  ,6.8,1.8 ,21.10 ,0.78     ,6.0  ,5.8     ,5.4,0.9   ,0.95,21.75,0.22   ,18.6,0.8   ,0.74,0.5,0.193,0.578167252845
219,UGC05408  ,2.68,0.168,0.248,G,0.29,0.27,0.278,0.292,F,F,19.27,0.24   ,9.8  ,1.2   ,2.5,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.586350110099
220,UGC06062  ,1.55,0.449,0.449,C,0.472,0.325,0.475,0.332,F,F,20.26,0.21   ,4.7  ,0.5   ,3.4,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.49546720432
221,UGC06176  ,1.58,0.252,0.33,G,0.67,0.447,0.585,0.426,F,F,20.73,0.07   ,11.3 ,0.4   ,3.0,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.741570814371
222,UGC08876  ,1.93,0.408,0.18,S,0.311,0.182,0.341,0.189,F,F,20.99,0.10   ,12.1 ,0.6   ,1.7,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.445477272148
223,UGC09519  ,2.48,0.484,0.407,G,0.764,0.631,0.632,0.552,F,F,19.88,0.16   ,9.0  ,0.7   ,2.0,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.865250528262
