,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
81,NGC3838   ,1.42,0.605,0.385,S,0.743,0.536,0.676,0.509,F,F,20.74,0.08   ,12.3 ,0.4   ,3.1,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.820327777378
82,NGC3941   ,0.66,0.251,0.251,C,0.439,0.352,0.468,0.373,F,F,19.39,0.12   ,10.2 ,0.6   ,2.5,0.2 ,17.55 ,0.41     ,2.1  ,0.4     ,0.6,0.3   ,0.77,18.05,0.03   ,8.3,0.2   ,0.49,0.81,0.051,0.744512461132
83,NGC3945   ,0.74,0.09,0.23,G,0.717,0.741,0.524,0.561,F,F,19.68,0.18   ,21.3 ,2.4   ,2.5,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.16976586286
84,NGC3998   ,0.87,0.17,0.164,G,0.415,0.326,0.454,0.342,F,F,21.24,0.47   ,36.9 ,12.4  ,6.5,2.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.844508805135
85,NGC4026   ,0.75,0.556,0.438,G,0.54,0.451,0.548,0.442,F,F,19.9,0.32   ,19.3 ,4.5   ,4.6,1.9 ,17.60 ,0.16     ,5.0  ,0.4     ,1.3,0.4   ,0.87,19.25,0.03   ,21.0,0.7   ,0.81,0.63,0.036,0.667859663163
86,NGC4036   ,0.53,0.555,0.54,G,0.818,0.803,0.685,0.678,F,F,19.42,0.13   ,28.5 ,2.0   ,2.4,0.4 ,17.87 ,0.06     ,5.4  ,14.5    ,1.7,0.8   ,0.64,18.68,0.03   ,26.5,1.3   ,0.4,0.75,0.000,0.922641136448
87,NGC4078   ,2.0,0.561,0.51,S,0.575,0.524,0.523,0.496,F,F,19.85,0.07   ,29.3 ,0.9   ,2.0,0.1 ,21.87 ,0.58     ,26.9 ,8.5     ,8.6,2.2   ,0.4,18.46,0.04   ,21.0,0.6   ,0.43,0.74,0.020,0.694538921678
88,NGC4111   ,1.25,0.582,0.498,S,0.72,0.663,0.619,0.567,F,F,19.82,0.06   ,8.9  ,0.3   ,3.8,0.2 ,19.76 ,0.04     ,9.6  ,0.2     ,2.1,0.1   ,0.37,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.803467635293
89,NGC4119   ,0.61,0.598,0.563,G,0.895,0.808,0.701,0.66,F,F,18.79,0.05   ,24.6 ,0.6   ,2.1,0.1 ,18.69 ,0.04     ,23.3 ,0.5     ,2.3,0.1   ,0.21,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.879609149437
90,NGC4143   ,0.73,0.39,0.324,G,0.504,0.369,0.538,0.398,F,F,21.72,0.22   ,56.1 ,7.9   ,2.1,0.3 ,20.02 ,0.31     ,8.0  ,7.2     ,0.3,0.5   ,0.52,19.78,0.05   ,33.7,2.0   ,0.41,0.93,0.058,0.699214727082
91,NGC4150   ,0.98,0.328,0.274,G,0.514,0.337,0.513,0.338,F,F,19.54,0.18   ,16.9 ,2.0   ,2.1,0.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.645715808316
92,NGC4179   ,0.77,0.591,0.501,G,0.589,0.47,0.587,0.48,F,F,21.94,0.09   ,38.4 ,1.6   ,3.7,0.2 ,20.27 ,0.12     ,13.5 ,1.1     ,1.9,0.2   ,0.87,21.59,0.06   ,42.6,2.9   ,0.88,0.54,0.034,0.678144703969
93,NGC4203   ,0.59,0.154,0.18,G,0.281,0.255,0.305,0.275,F,F,21.28,0.05   ,14.9 ,0.4   ,3.2,0.2 ,21.06 ,0.07     ,14.0 ,0.4     ,2.4,0.2   ,0.69,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.648181216088
94,NGC4215   ,0.83,0.702,0.444,G,0.516,0.363,0.553,0.37,F,F,21.66,0.41   ,42.8 ,25.5  ,5.6,2.5 ,18.51 ,0.17     ,6.8  ,0.7     ,1.3,0.4   ,0.9,19.78,0.04   ,27.6,1.7   ,0.91,0.71,0.034,0.555277708299
95,NGC4233   ,1.15,0.277,0.162,G,0.578,0.401,0.564,0.39,F,F,20.1,0.14   ,17.8 ,1.7   ,1.9,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.96896279025
96,NGC4249   ,1.32,0.048,0.04,G,0.204,0.142,0.194,0.127,F,F,20.56,0.18   ,19.9 ,2.0   ,3.3,0.7 ,18.44 ,0.19     ,4.4  ,0.4     ,0.8,0.2   ,0.73,20.0,0.04   ,20.6,1.1   ,0.63,0.72,0.028,0.635
97,NGC4251   ,0.79,0.508,0.387,G,0.637,0.503,0.584,0.466,F,F,21.83,0.09   ,11.6 ,0.5   ,1.9,0.2 ,21.87 ,0.11     ,11.8 ,0.7     ,1.8,0.4   ,0.97,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.749083850438
98,NGC4255   ,1.34,0.434,0.127,S,0.622,0.374,0.606,0.37,F,F,19.9,0.09   ,23.4 ,1.0   ,3.6,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.03824503654
99,NGC4259   ,1.93,0.553,0.45,G,0.231,0.081,0.237,0.068,F,S,20.09,0.19   ,11.6 ,1.3   ,2.2,0.4 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.10136841498
100,NGC4262   ,1.39,0.117,0.117,C,0.297,0.254,0.309,0.25,F,F,21.76,0.16   ,52.1 ,4.8   ,5.1,0.4 ,21.86 ,0.16     ,55.4 ,4.8     ,5.7,0.5   ,0.84,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.730881682756
101,NGC4264   ,1.26,0.191,0.191,C,0.541,0.355,0.499,0.341,F,F,19.49,0.48   ,9.8  ,3.0   ,4.7,2.6 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.780257039135
102,NGC4267   ,0.53,0.079,0.079,C,0.26,0.241,0.282,0.253,F,F,20.77,0.11   ,11.7 ,0.6   ,2.3,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.90013360471
103,NGC4268   ,0.93,0.552,0.348,G,0.491,0.333,0.492,0.33,F,F,22.01,0.48   ,37.8 ,28.4  ,7.6,2.8 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.559402390487
104,NGC4270   ,0.96,0.543,0.424,G,0.378,0.289,0.406,0.294,F,F,20.36,0.12   ,14.2 ,0.9   ,1.9,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.451506910873
105,NGC4278   ,0.72,0.103,0.134,G,0.201,0.208,0.178,0.203,F,F,20.38,0.08   ,18.8 ,0.7   ,1.8,0.2 ,19.09 ,0.60     ,3.5  ,2.0     ,0.9,0.7   ,0.73,18.84,0.05   ,13.2,0.5   ,0.53,0.87,0.120,0.554553740179
106,NGC4281   ,0.69,0.535,0.502,G,0.757,0.702,0.651,0.621,F,F,20.7,0.11   ,31.6 ,1.6   ,4.8,0.3 ,20.96 ,0.21     ,35.3 ,2.9     ,4.1,0.4   ,0.92,17.69,0.02   ,4.2,2.8   ,0.86,0.07,0.000,0.876475420846
