,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,name,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
0,IC0560    ,1.1,0.587,0.479,G,0.77,0.607,0.691,0.589,F,F,Simbad,NED,LEDA,146.47265,-0.26822,IC0560   ,21.32,0.12   ,16.5 ,1.0   ,2.8,0.4 ,19.39 ,0.58     ,2.9  ,1.2     ,0.9,0.4   ,0.71,19.58,0.06   ,10.8,0.5   ,0.47,0.81,0.227,0.851035228609
1,IC0598    ,1.39,0.579,0.502,G,0.896,0.629,0.736,0.592,F,F,Simbad,NED,LEDA,153.20242,43.14555,IC0598   ,20.22,0.05   ,12.9 ,0.3   ,2.3,0.1 ,20.57 ,0.07     ,13.7 ,0.4     ,1.8,0.2   ,0.41,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.835545006668
2,IC0676    ,0.68,0.524,0.664,G,0.508,0.436,0.495,0.442,F,F,Simbad,NED,LEDA,168.16591,9.05574,IC0676   ,22.06,0.20   ,24.7 ,2.8   ,2.7,0.5 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.54242316651
3,IC0719    ,1.06,0.714,0.642,R,0.279,0.117,0.263,0.092,F,S,Simbad,NED,LEDA,175.07704,9.00986,IC0719   ,20.03,0.04   ,14.5 ,0.2   ,1.3,0.0 ,20.00 ,0.06     ,14.7 ,0.3     ,1.0,0.1   ,0.29,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.114820732549
4,IC0782    ,0.76,0.404,0.263,G,0.677,0.608,0.571,0.529,F,F,Simbad,NED,LEDA,185.40405,5.76567,IC0782   ,22.66,0.33   ,22.3 ,4.4   ,3.2,0.8 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,1.03152034422
5,IC1024    ,1.18,0.679,0.752,G,0.916,0.647,0.724,0.599,F,F,Simbad,NED,LEDA,217.86342,3.00911,IC1024   ,20.56,0.10   ,15.2 ,0.7   ,1.2,0.1 ,20.45 ,0.12     ,14.4 ,0.9     ,1.4,0.2   ,0.36,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.690745242012
6,IC3631    ,1.11,0.56,0.524,G,0.218,0.173,0.25,0.196,F,F,Simbad,NED,LEDA,189.9502,12.97393,IC3631   ,21.26,0.10   ,12.4 ,0.6   ,1.8,0.2 ,20.89 ,0.17     ,11.5 ,1.3     ,1.1,0.4   ,0.83,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.270763692358
7,NGC0448   ,1.22,0.643,0.656,G,0.38,0.377,0.327,0.291,F,F,Simbad,NED,LEDA,18.81887,-1.62611,NGC0448  ,19.32,0.05   ,11.2 ,0.3   ,2.6,0.2 ,18.29 ,0.10     ,4.7  ,0.3     ,0.9,0.1   ,0.38,18.06,0.01   ,9.1,0.3   ,0.34,0.69,0.030,0.359286640781
8,NGC0474   ,0.52,0.192,0.191,G,0.229,0.227,0.213,0.21,F,F,Simbad,NED,LEDA,20.02825,3.41544,NGC0474  ,23.84,0.67   ,77.5 ,42.2  ,10.6,2.0 ,18.62 ,0.11     ,4.3  ,0.3     ,1.8,0.5   ,0.93,20.16,0.03   ,21.3,0.9   ,0.77,0.67,0.036,0.480510200054
9,NGC0502   ,1.44,0.146,0.047,G,0.213,0.168,0.234,0.172,F,F,Simbad,NED,LEDA,20.73196,9.04903,NGC0502  ,20.9,0.26   ,13.0 ,2.0   ,4.1,1.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.793376838905
